#U   STOTexp(barn)  SEM(1/cm) PSCAT   STOTexp(barn)  SEM(1/cm) PSCAT  Muestra xh=1.0-Aluminio
   -0.432161    53.372691     1.778967     0.996843     1.463547     0.088161     0.999943
   -0.396985    52.523833     1.750673     0.996919     1.461683     0.088049     0.999945
   -0.361809    51.655279     1.721724     0.996991     1.459885     0.087941     0.999947
   -0.326633    50.510891     1.683580     0.997045     1.458140     0.087836     0.999949
   -0.291457    49.440181     1.647892     0.997101     1.456453     0.087734     0.999951
   -0.256281    49.005622     1.633408     0.997192     1.454818     0.087635     0.999953
   -0.221106    48.647588     1.621474     0.997283     1.453235     0.087540     0.999955
   -0.185930    48.335894     1.611085     0.997374     1.451706     0.087448     0.999956
   -0.150754    48.049670     1.601545     0.997463     1.450224     0.087359     0.999958
   -0.115578    47.783589     1.592676     0.997550     1.448796     0.087273     0.999960
   -0.080402    47.539270     1.584533     0.997636     1.447412     0.087189     0.999961
   -0.045226    47.310859     1.576920     0.997718     1.446076     0.087109     0.999963
   -0.010050    47.105853     1.570087     0.997799     1.446082     0.087109     0.999964
    0.025126    46.912642     1.563647     0.997878     1.445582     0.087079     0.999966
    0.060302    46.735580     1.557745     0.997955     1.444224     0.086997     0.999967
    0.095477    46.569109     1.552196     0.998029     1.442916     0.086918     0.999968
    0.130653    46.419451     1.547208     0.998101     1.441661     0.086843     0.999970
    0.165829    46.279427     1.542541     0.998171     1.440457     0.086770     0.999971
    0.201005    46.150948     1.538259     0.998238     1.439297     0.086700     0.999972
    0.236181    46.031499     1.534277     0.998304     1.438189     0.086634     0.999973
    0.271357    45.921685     1.530617     0.998367     1.437121     0.086569     0.999974
    0.306533    45.820133     1.527232     0.998429     1.436098     0.086508     0.999975
    0.341709    45.725721     1.524085     0.998488     1.435114     0.086449     0.999976
    0.376884    45.640016     1.521229     0.998545     1.434169     0.086392     0.999977
    0.412060    45.559557     1.518547     0.998601     1.433264     0.086337     0.999978
    0.447236    45.486444     1.516110     0.998654     1.432392     0.086285     0.999979
    0.482412    45.417877     1.513825     0.998705     1.431557     0.086234     0.999980
    0.517588    45.355130     1.511733     0.998755     1.430754     0.086186     0.999980
    0.552764    45.295926     1.509760     0.998803     1.429982     0.086139     0.999981
    0.587940    45.243164     1.508001     0.998849     1.429244     0.086095     0.999982
    0.623116    45.193440     1.506344     0.998894     1.428532     0.086052     0.999983
    0.658291    45.147682     1.504819     0.998936     1.427850     0.086011     0.999983
    0.693467    45.105083     1.503399     0.998978     1.427195     0.085971     0.999984
    0.728643    45.066080     1.502099     0.999017     1.426566     0.085934     0.999985
